Epoch	Train Error	Test Error
0	5886.435322238896	2260.6736444218786
1	3810.44550349144	1558.4818439544883
2	3052.5383972846666	1133.187208975791
3	2726.509962834249	1118.1257119521447
4	2501.004643220132	1017.8900003150209
5	2370.8388473867208	960.5307310055982
6	2213.6777341362317	1433.5729048982325
7	2144.6123510035877	924.6219959633382
8	2085.4025449738297	916.3588969092252
9	2036.466256458817	863.4443453853241
10	1944.3037456131995	1058.4665562180787
11	1906.134465490466	912.7461617670155
12	1885.7609373341734	795.3439545773863
13	1828.525012069454	788.9001695402325
14	1780.36254567691	873.0083803060543
15	1741.3143668421098	941.5164985311206
16	1673.4052745887045	828.8615121564437
17	1703.9125786680956	831.5123306368503
18	1700.6338985462285	713.0622208994766
19	1618.1497757283605	701.8229888801798
20	1599.2912376406011	738.2272663340177
21	1595.0490462470832	710.7790821528457
22	1629.6502148530358	682.6350982832688
23	1578.609910433599	832.9749577294048
24	1550.7886463157308	870.7385701137687
25	1537.093503089128	886.4455737198443
26	1512.3641318332106	730.7856425857321
27	1522.068912955247	753.8088464596866
28	1519.622934169424	744.2014081179029
29	1497.1997507407373	811.1432654185695
30	1484.0545640218365	752.7941140158778
31	1462.128585924806	781.0287783059861
32	1466.3855617022462	695.8858635269987
33	1462.6055954552323	716.3122140704294
34	1428.4672167400224	711.9692834444475
35	1433.149338886902	681.7833878446693
36	1392.6028089059569	706.0184857246779
37	1333.2316871616006	738.6270158018073
38	1420.6529864507486	710.9753274615215
39	1368.5521868295639	635.514339681415
40	1359.838868700013	670.1681588641871
41	1315.044465973857	680.1067535002345
42	1322.8535609267947	594.5223572724925
43	1288.1126209098954	663.8522488263582
44	1293.483175879947	840.4974862641283
45	1359.454477332554	786.8670411978251
46	1358.5895282716092	597.1784045804027
47	1338.7354994015425	650.101951156901
48	1256.6775107513504	629.4626182145158
49	1298.0817915303091	712.6959874434791
50	1376.3348142037728	653.6618717045582
51	1346.4760058360346	783.5303186559404
52	1282.5878469038635	618.8745365284426
53	1255.9595675669393	567.5636195445268
54	1280.0872050075704	628.4804415228868
55	1228.5130536399017	581.9060830304637
56	1254.06864387129	619.9365928339068
57	1223.759925823599	568.682670609387
58	1218.9098367543631	581.5535722015907
59	1269.118370305029	690.2819473599218
60	1298.6158799497168	642.858647130147
61	1266.3976710824422	608.6573058712413
62	1215.8345648054813	705.1427499270793
63	1271.2397981364838	577.2131248090258
64	1199.3680688074758	600.0525442374071
65	1172.4771384315256	679.9260347169112
66	1202.9594757310742	637.4941342236194
67	1220.4469080513786	764.9464691533417
