Epoch	Train Error	Test Error
170	1047.301860148663	630.2990695050887
171	1052.470212805061	574.7689145939617
172	1077.9606613019032	713.1107853608165
173	1046.2714007491477	633.3421479250802
174	1063.9804453974534	531.5137728078377
175	1009.6358000412582	638.7347207669097
176	1047.3669066384377	603.5897460526392
177	1078.6701962076384	569.1985895717124
178	1120.1442106986572	535.8568244497201
179	1155.4220674062851	669.2741607304856
180	1150.919472007173	646.7582022726506
181	1055.0961210431556	644.1621296138469
182	1146.7435281287394	620.1609225815655
183	1108.4972913643735	568.0926566636901
184	1096.6124222923613	582.9200740738528
185	1034.170811493621	617.0238629796678
186	1015.6057227370313	612.7748185649564
187	1018.063556652112	622.0229808032473
188	1028.2991566096684	622.0041472055991
189	1029.4218886455842	557.5676527480366
190	1085.3483833096238	548.0009463689194
191	1001.2506338814513	630.0564440609635
192	1052.2704339420338	605.6656141349794
193	1055.5887121048834	606.8031477409827
194	987.6070639376595	536.8085443310345
195	987.8932106091061	511.0504998294476
196	1096.6177526792974	610.830866583385
197	1006.6997363422918	589.3261544799996
198	1106.2971412531344	615.7871482218388
199	1150.8409524240285	586.1465207093258
