Epoch	Train Successrate	Test Successrate
0	0.24371428571428572	0.4053333333333333
1	0.597	0.6086666666666667
2	0.6855714285714286	0.731
3	0.7198571428571429	0.7371666666666666
4	0.7445	0.7571666666666667
5	0.7596428571428572	0.7756666666666666
6	0.7760714285714285	0.6716666666666666
7	0.7805714285714286	0.7815
8	0.7898571428571428	0.781
9	0.7905714285714286	0.793
10	0.8009285714285714	0.7566666666666667
11	0.8065	0.7923333333333333
12	0.8067142857142857	0.8128333333333333
13	0.8148571428571428	0.8188333333333333
14	0.8195714285714286	0.7985
15	0.8222857142857143	0.7908333333333334
16	0.8294285714285714	0.8081666666666667
17	0.8285714285714286	0.81
18	0.8282857142857143	0.8355
19	0.8362142857142857	0.8325
20	0.84	0.8306666666666667
21	0.8415	0.8355
22	0.8374285714285714	0.8376666666666667
23	0.8427142857142857	0.812
24	0.8442142857142857	0.8015
25	0.8437142857142857	0.8031666666666667
26	0.8479285714285715	0.831
27	0.8488571428571429	0.8275
28	0.8497857142857143	0.8321666666666667
29	0.8524285714285714	0.8206666666666667
30	0.8501428571428571	0.8323333333333334
31	0.8536428571428571	0.8251666666666667
32	0.8534285714285714	0.8415
33	0.8534285714285714	0.837
34	0.858	0.8413333333333334
35	0.8578571428571429	0.8453333333333334
36	0.8618571428571429	0.8393333333333334
37	0.8647857142857143	0.8313333333333334
38	0.8571428571428571	0.841
39	0.8622142857142857	0.8541666666666666
40	0.8622857142857143	0.8445
41	0.8667857142857143	0.8428333333333333
42	0.8671428571428571	0.8603333333333333
43	0.8692857142857143	0.8445
44	0.8677857142857143	0.811
45	0.8637857142857143	0.8296666666666667
46	0.8653571428571428	0.8588333333333333
47	0.8659285714285714	0.8526666666666667
48	0.8729285714285714	0.853
49	0.8707142857142857	0.8421666666666666
50	0.8647142857142858	0.8501666666666666
51	0.8682857142857143	0.8245
52	0.8725714285714286	0.8563333333333333
53	0.8735	0.8635
54	0.8703571428571428	0.8558333333333333
55	0.874	0.8638333333333333
56	0.8742142857142857	0.8555
57	0.8754285714285714	0.8681666666666666
58	0.877	0.8651666666666666
59	0.8725	0.845
60	0.8700714285714286	0.8566666666666667
61	0.8712142857142857	0.862
62	0.8756428571428572	0.8408333333333333
63	0.8733571428571428	0.8623333333333333
64	0.8778571428571429	0.8636666666666667
65	0.8822142857142857	0.8456666666666667
66	0.8771428571428571	0.853
67	0.8777142857142857	0.8298333333333333
68	0.8773571428571428	0.8496666666666667
69	0.8795	0.8418333333333333
70	0.8812857142857143	0.8555
71	0.8777857142857143	0.8548333333333333
72	0.8787857142857143	0.8513333333333334
73	0.8822857142857143	0.8558333333333333
74	0.8791428571428571	0.8516666666666667
75	0.8827857142857143	0.8565
76	0.881	0.827
77	0.8817142857142857	0.8581666666666666
78	0.8756428571428572	0.8555
79	0.8821428571428571	0.847
80	0.8807857142857143	0.8486666666666667
81	0.8805714285714286	0.8556666666666667
82	0.881	0.857
83	0.8747857142857143	0.8681666666666666
84	0.8877142857142857	0.8646666666666667
85	0.8847857142857143	0.8628333333333333
86	0.8840714285714286	0.856
87	0.8857857142857143	0.8578333333333333
88	0.8823571428571428	0.8383333333333334
89	0.88	0.8438333333333333
90	0.8793571428571428	0.871
91	0.8845	0.8705
92	0.8850714285714286	0.844
93	0.8826428571428572	0.8643333333333333
94	0.8855714285714286	0.8673333333333333
95	0.8835	0.8693333333333333
96	0.8880714285714286	0.8583333333333333
97	0.8842857142857142	0.86
98	0.8814285714285715	0.8648333333333333
99	0.8837857142857143	0.8685
100	0.8853571428571428	0.8706666666666667
101	0.8852142857142857	0.8678333333333333
102	0.8875714285714286	0.8496666666666667
103	0.8852857142857142	0.8623333333333333
104	0.8846428571428572	0.8621666666666666
105	0.8802142857142857	0.8448333333333333
106	0.8847857142857143	0.8748333333333334
107	0.8852142857142857	0.8646666666666667
108	0.8833571428571428	0.8575
109	0.8840714285714286	0.8531666666666666
110	0.8872857142857142	0.8615
111	0.8900714285714286	0.8661666666666666
112	0.8794285714285714	0.8495
113	0.8818571428571429	0.8583333333333333
114	0.8842857142857142	0.8616666666666667
115	0.8853571428571428	0.8613333333333333
116	0.8890714285714286	0.836
117	0.8852142857142857	0.8701666666666666
118	0.886	0.871
119	0.8896428571428572	0.8613333333333333
120	0.8877857142857143	0.8606666666666667
121	0.8913571428571428	0.8701666666666666
122	0.8857142857142857	0.867
123	0.8865	0.858
124	0.8830714285714286	0.8563333333333333
125	0.8836428571428572	0.8658333333333333
126	0.8895714285714286	0.8715
127	0.8880714285714286	0.8523333333333334
128	0.8932142857142857	0.8681666666666666
129	0.8930714285714285	0.8555
130	0.8924285714285715	0.8666666666666667
131	0.8882142857142857	0.8763333333333333
132	0.8927857142857143	0.8741666666666666
133	0.888	0.8721666666666666
134	0.8878571428571429	0.8653333333333333
135	0.8821428571428571	0.8591666666666666
136	0.8907857142857143	0.8681666666666666
137	0.8909285714285714	0.8675
138	0.8896428571428572	0.8666666666666667
139	0.8895	0.8623333333333333
140	0.8895714285714286	0.8731666666666666
141	0.8876428571428572	0.8715
142	0.8952857142857142	0.854
143	0.8884285714285715	0.8728333333333333
144	0.894	0.8645
145	0.8952857142857142	0.861
146	0.8873571428571428	0.8651666666666666
147	0.8887142857142857	0.8586666666666667
148	0.8904285714285715	0.8708333333333333
149	0.8861428571428571	0.8576666666666667
150	0.8887142857142857	0.8645
151	0.8886428571428572	0.8476666666666667
152	0.8871428571428571	0.8675
153	0.8845	0.8515
154	0.8884285714285715	0.8593333333333333
155	0.8877142857142857	0.8651666666666666
156	0.8865714285714286	0.8666666666666667
157	0.8869285714285714	0.8688333333333333
158	0.8865	0.8596666666666667
159	0.887	0.8685
160	0.8879285714285714	0.8605
161	0.8880714285714286	0.8633333333333333
162	0.89	0.8618333333333333
163	0.8912142857142857	0.862
164	0.8935714285714286	0.8686666666666667
165	0.8857857142857143	0.8766666666666667
166	0.8929285714285714	0.8733333333333333
167	0.8907142857142857	0.8568333333333333
168	0.8910714285714286	0.8453333333333334
169	0.8954285714285715	0.8666666666666667
170	0.8918571428571429	0.8581666666666666
171	0.8920714285714286	0.8703333333333333
172	0.8909285714285714	0.842
173	0.8937857142857143	0.8576666666666667
174	0.8909285714285714	0.877
175	0.8940714285714285	0.8561666666666666
176	0.8917857142857143	0.8643333333333333
177	0.8900714285714286	0.866
178	0.8865	0.8748333333333334
179	0.8834285714285715	0.8553333333333333
180	0.8845	0.8538333333333333
181	0.8921428571428571	0.8543333333333333
182	0.885	0.8623333333333333
183	0.8887142857142857	0.866
184	0.889	0.8661666666666666
185	0.8939285714285714	0.8605
186	0.8945714285714286	0.8646666666666667
187	0.8944285714285715	0.8595
188	0.8935	0.8601666666666666
189	0.8937857142857143	0.8691666666666666
190	0.8897142857142857	0.8731666666666666
191	0.8959285714285714	0.8556666666666667
192	0.893	0.865
193	0.8927142857142857	0.8601666666666666
194	0.8974285714285715	0.8766666666666667
195	0.896	0.8771666666666667
196	0.8908571428571429	0.8643333333333333
197	0.8973571428571429	0.8683333333333333
198	0.8899285714285714	0.8648333333333333
199	0.8867142857142857	0.8703333333333333
